"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2012","2012","YR","Years","0","Units",,,30.9,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2013","2013","YR","Years","0","Units",,,30.9,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2014","2014","YR","Years","0","Units",,,31,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2015","2015","YR","Years","0","Units",,,31,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2016","2016","YR","Years","0","Units",,,31.1,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2017","2017","YR","Years","0","Units",,,31.1,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2018","2018","YR","Years","0","Units",,,31.1,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2019","2019","YR","Years","0","Units",,,31.3,,
"SWE","Sweden","TOTAL","Total","FAM2","Mean age of women at childbirth","2020","2020","YR","Years","0","Units",,,31.3,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2012","2012","YR","Years","0","Units",,,30.4,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2013","2013","YR","Years","0","Units",,,30.5,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2014","2014","YR","Years","0","Units",,,30.5,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2015","2015","YR","Years","0","Units",,,30.6,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2016","2016","YR","Years","0","Units",,,30.8,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2017","2017","YR","Years","0","Units",,,30.9,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2018","2018","YR","Years","0","Units",,,31,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2019","2019","YR","Years","0","Units",,,31.1,,
"FIN","Finland","TOTAL","Total","FAM2","Mean age of women at childbirth","2020","2020","YR","Years","0","Units",,,31.2,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2012","2012","PC","Percentage","0","Units",,,45,,
"LVA","Latvia","TOTAL","Total","FAM3","Share of births outside of marriage (% of all births)","2013","2013","PC","Percentage","0","Units",,,44.6,,
