대륙,국가별,2012,2013,2014,2015,2016,2017,2018,2019,2020
아시아,대한민국,0.108,0.108,0.100,0.096,0.086,0.080,0.078,0.078,0.070
아시아,이스라엘,0.131,0.117,0.114,0.104,0.101,0.094,0.089,0.098,0.084
아시아,일본,0.124,0.125,0.124,0.115,0.102,0.093,0.087,0.080,0.082
아시아,튀르키예,0.370,0.354,0.346,0.335,0.323,0.311,0.286,0.277,0.277
북아메리카,캐나다,0.120,0.115,0.109,0.103,0.087,0.083,0.073,0.069,0.070
북아메리카,멕시코,0.377,0.371,0.366,0.349,0.341,0.336,0.323,0.317,0.317
북아메리카,미국,0.235,0.229,0.217,0.219,0.216,0.209,0.192,0.189,0.178
남아메리카,칠레,0.320,0.300,0.288,0.277,0.259,0.243,0.207,0.206,0.210
남아메리카,콜롬비아,0.462,0.460,0.433,0.430,0.427,0.427,0.427,0.423,0.425
남아메리카,코스타리카,0.318,0.313,0.318,0.310,0.312,0.307,0.285,0.269,0.259
유럽,오스트리아,0.098,0.086,0.083,0.084,0.082,0.072,0.061,0.054,0.052
유럽,벨기에,0.085,0.075,0.068,0.063,0.060,0.057,0.053,0.048,0.048
유럽,체코,0.142,0.145,0.146,0.139,0.138,0.133,0.129,0.124,0.125
유럽,덴마크,0.042,0.039,0.035,0.035,0.034,0.027,0.022,0.016,0.013
유럽,에스토니아,0.166,0.154,0.163,0.130,0.126,0.106,0.103,0.092,0.095
유럽,핀란드,0.063,0.061,0.061,0.054,0.048,0.042,0.037,0.031,0.032
유럽,프랑스,0.111,0.107,0.103,0.097,0.092,0.073,0.078,0.086,0.084
유럽,독일,0.087,0.078,0.078,0.078,0.085,0.087,0.083,0.079,0.077
유럽,그리스,0.124,0.121,0.118,0.122,0.124,0.129,0.127,0.121,0.119
유럽,헝가리,0.242,0.250,0.248,0.247,0.252,0.248,0.229,0.227,0.231
유럽,아이슬란드,0.085,0.072,0.070,0.063,0.053,0.056,0.053,0.051,0.051
유럽,아일랜드,0.134,0.121,0.115,0.109,0.092,0.086,0.084,0.079,0.073
유럽,이탈리아,0.115,0.086,0.082,0.079,0.075,0.070,0.057,0.054,0.055
유럽,라트비아,0.220,0.230,0.235,0.227,0.225,0.204,0.155,0.156,0.149
유럽,리투아니아,0.138,0.137,0.135,0.136,0.138,0.133,0.128,0.122,0.107
유럽,룩셈부르크,0.093,0.072,0.071,0.067,0.063,0.058,0.074,0.062,0.051
유럽,네덜란드,0.046,0.041,0.038,0.033,0.030,0.029,0.027,0.028,0.027
유럽,노르웨이,0.054,0.049,0.044,0.040,0.033,0.023,0.018,0.016,0.014
유럽,폴란드,0.152,0.150,0.145,0.134,0.132,0.125,0.121,0.111,0.110
유럽,포르투갈,0.112,0.098,0.091,0.080,0.078,0.077,0.074,0.071,0.069
유럽,슬로바키아,0.186,0.186,0.189,0.191,0.192,0.193,0.194,0.194,0.184
유럽,슬로베니아,0.070,0.070,0.067,0.063,0.057,0.054,0.074,0.070,0.069
유럽,스페인,0.089,0.084,0.079,0.074,0.070,0.068,0.062,0.056,0.056
유럽,스웨덴,0.049,0.048,0.044,0.039,0.038,0.035,0.031,0.024,0.024
유럽,스위스,0.052,0.044,0.042,0.039,0.039,0.034,0.032,0.018,0.018
유럽,영국,0.162,0.153,0.144,0.130,0.125,0.117,0.112,0.106,0.100
오세아니아,오스트레일리아,0.130,0.123,0.117,0.111,0.101,0.096,0.092,0.080,0.074
오세아니아,뉴질랜드,0.155,0.146,0.141,0.136,0.126,0.112,0.102,0.100,0.090
