"국가별",2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020
"국가별",경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%),경제활동가능인구 (1000명),경제활동인구 (1000명),남자 (1000명),여자 (1000명),경제활동참가율 (%),남자 (%),여자 (%)
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"대한민국(15+ LFS)",41857,25781,15077,10704,61.6,73.5,50.1,42304,26108,15245,10862,61.7,73.5,50.3,42795,26836,15607,11229,62.7,74.4,51.5,43239,27153,15728,11426,62.8,74.1,51.9,43606,27418,15836,11583,62.9,74.0,52.2,43931,27748,15975,11773,63.2,74.1,52.7,44182,27895,16002,11893,63.1,73.7,52.9,44504,28186,16090,12097,63.3,73.5,53.5,44785,28012,16005,12007,62.5,72.6,52.8
"이스라엘(15+ LFS)",5672,3606,1918,1688,63.6,69.3,58.1,5775,3678,1956,1722,63.7,69.4,58.2,5885,3778,1998,1781,64.2,69.5,59.2,6000,3846,2032,1813,64.1,69.3,59.1,6120,3925,2069,1857,64.1,69.1,59.4,6239,3993,2106,1887,64.0,69.0,59.3,6363,4068,2124,1943,63.9,68.3,59.8,6494,4124,2149,1974,63.5,67.6,59.6,6620,4090,2126,1965,61.8,65.5,58.2
"일본(15+ LFS)",110164,65010,37565,27445,59.0,70.8,48.1,110039,65193,37365,27828,59.3,70.5,48.8,109927,65343,37306,28038,59.4,70.4,49.2,109944,65415,37249,28167,59.5,70.3,49.5,110068,66025,37366,28659,60.0,70.4,50.3,110346,66698,37529,29168,60.4,70.5,51.1,110344,67803,37870,29932,61.5,71.1,52.4,110271,68377,37997,30380,62.0,71.4,53.3,110800,68680,38230,30440,62.0,71.4,53.2
"튀르키예(15+ LFS)",54721,27021,18957,8064,49.4,70.3,29.0,55596,27960,19418,8543,50.3,70.9,30.3,56985,28772,20050,8722,50.5,71.2,30.2,57870,29652,20454,9199,51.2,71.6,31.4,58739,30523,20893,9630,52.0,72.0,32.4,59893,31617,21476,10141,52.8,72.4,33.5,60653,32245,21787,10458,53.2,72.6,34.1,61468,32524,21855,10669,52.9,72.0,34.3,62577,30849,21097,9752,49.3,68.2,30.8
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"캐나다(15+ LFS)",28283,18810,9886,8924,66.5,71.0,62.1,28647,19038,9996,9041,66.5,70.9,62.2,28981,19124,10072,9053,66.0,70.6,61.6,29280,19278,10182,9096,65.8,70.6,61.2,29587,19441,10242,9199,65.7,70.3,61.3,29902,19663,10336,9326,65.8,70.2,61.5,30290,19813,10396,9417,65.4,69.6,61.3,30739,20200,10627,9573,65.7,70.1,61.5,31156,19947,10557,9390,64.0,68.7,59.5
"멕시코(15+ LFS)",84772,51209,31673,19536,60.4,78.8,43.8,85890,51771,31960,19811,60.3,78.5,43.9,86867,51912,32282,19630,59.8,78.2,43.0,88456,52892,32769,20123,59.8,78.0,43.3,89928,53666,33169,20497,59.7,77.7,43.4,91330,54194,33538,20656,59.3,77.6,43.0,92172,54961,33872,21089,59.6,77.4,43.6,94034,56582,34456,22126,60.2,77.2,44.8,96017,53284,32638,20647,55.5,71.6,40.9
